Software Name	 Version	Manufacturer
Autodesk AutoCAD 2016 SP 1	20.1.107.0	Autodesk
Autodesk AutoCAD 2018 - English	22.0.49.0	Autodesk
Autodesk AutoCAD 2018 - English	22.0.49.0	Autodesk
Autodesk AutoCAD LT 2015 - English	20.0.51.0	Autodesk
Autodesk AutoCAD Performance Feedback Tool 1.2.4	1.2.4.0	Autodesk
Autodesk AutoCAD Performance Feedback Tool 1.2.8	1.2.8.0	Autodesk
Autodesk AutoCAD Performance Feedback Tool Version 1.2.2	1.2.2.0	Autodesk
Autodesk Autodesk AutoCAD Map 3D 2015	18.0.030.11	Autodesk
Autodesk BIM 360 Glue AutoCAD 2015 Add-in 64 bit	3.32.3004	Autodesk
Autodesk BIM 360 Glue AutoCAD 2016 Add-in 64 bit	4.35.1742	Autodesk
Autodesk BIM 360 Glue AutoCAD 2016 Add-in 64 bit	4.35.1742	Autodesk
Autodesk CAD Manager Tools	16.0.0.65	Autodesk
Autodesk Content Service	3.2.0.0	Autodesk
Autodesk Content Service	3.2.0.0	Autodesk
Autodesk Content Service	3.2.0.0	Autodesk
Autodesk Content Service	3.2.0.0	Autodesk
Autodesk Content Service Language Pack	3.2.0.0	Autodesk
Autodesk Content Service Language Pack	3.2.0.0	Autodesk
Autodesk Desktop App	7.0.6.378	Autodesk
Autodesk Desktop App	7.0.7.230	Autodesk
Autodesk Desktop App	7.0.7.232	Autodesk
Autodesk Desktop App	7.0.6.378	Autodesk
Autodesk DWG TrueView 2015 - English	20.0.210.0	Autodesk
Autodesk Featured Apps	1.2.0	Autodesk
Autodesk Featured Apps 2016	2.0.0	Autodesk
Autodesk Featured Apps 2016-2018	2.4.0	Autodesk
Autodesk License Service (x64) - 5.1.4	5.1.4.0	Autodesk
Autodesk Material Library 2015	5.2.9.100	Autodesk
Autodesk Material Library 2015	5.2.9.100	Autodesk
Autodesk Material Library 2016	6.3.0.15	Autodesk
Autodesk Material Library 2018	16.11.1.0	Autodesk
Autodesk Material Library Base Resolution Image Library 2015	5.2.9.100	Autodesk
Autodesk Material Library Base Resolution Image Library 2015	5.2.9.100	Autodesk
Autodesk Material Library Base Resolution Image Library 2016	6.3.0.15	Autodesk
Autodesk Material Library Base Resolution Image Library 2018	16.11.1.0	Autodesk
Autodesk Network License Manager	11.13.1.2	Autodesk
Autodesk Network License Manager	11.13.1.2	Autodesk
Autodesk ReCap	1.3.1.39	Autodesk
Autodesk ReCap	4.0.0.28	Autodesk
Autodesk ReCap	4.0.0.28	Autodesk
Autodesk ReCap 2016	1.5.0.33	Autodesk
Automated Distribution Illumination System Electrical (AutoDISE)	7.x	CERDEC/C2D/Army Power Division
AutoDutyPRO	4.3	AutoDutyPRO
AutoDutyPRO	4.31.0.0	AutoDutyPRO
Autonomous Diagnostic Manager, V3.10	3.10.0.7	
Autonomous Diagnostic Manager, V3.10.4	3.10.4	
Autonomous Diagnostic Manager, V3.6	3.6.0.0	
Avaya Site Administration	Any Supported Version	Avaya
AVD Remote Desktop Windows Client		Microsoft
Avery Wizard 5.0	5.0.5	Avery
Avery Wizard 5.0	5.0.3	Avery
AWBS (Automated Weight and Balance System)	10.2.007	
AXIS Media Control Embedded	N/A	AXIS Media Control Embedded
Axway Desktop Validator	4.12.1.0.0	Axway
Axway Validation Authority	4.12.1.0.0	Axway
Axway Validation Authority	4.12.1.0.0	Axway Validation Authority
Axway Validation Authority	4.12.1.0.0	
Bang &amp; Olufsen Audio	9.0.134.1	Bang &amp; Olufsen Audio
Bang &amp; Olufsen Audio	8.65.133.0	Bang &amp; Olufsen Audio
Barcode Configuration Utility	1.30.1100.0	Barcode Configuration Utility
Barron&#039;s ASVAB	v2	Barron&#039;s ASVAB
BarTender 10.1	10.1.2961	Seagull Scientific
"Bartender Professional
Includes:  Printer Maestro, History Explore, Reprint Console,Admin Console, Librarian - all version 11.x"	11.x	Seagull Scientific
Battery Recalibration	2.3.1200.0	Battery Recalibration
Behave Plus	6.x	USDA Forest Service
BehavePlus 5.0.5	BehavePlus 5.0.5	USDA Forest Service
Bentley Descartes for MicroStation V8i (SELECTseries 6)	08.11.09.720	Bentley
Bentley DGN IFilter	1.0.1.11	Bentley
Bentley DGN Index Service	08.11.09030	Bentley
Bentley DGN Index Service	08.11.09030	Bentley
Bentley DGN Preview Handler	8.11.8004	Bentley
Bentley DGN Preview Handler	8.11.8004	Bentley
Bentley DGN Thumbnail Provider	8.11.7.411	Bentley
Bentley DGN Thumbnail Provider	8.11.7.410	Bentley
Bentley DgnDb i-model Importer 1.5 x64	01.05.06018.0	Bentley
Bentley DgnDb i-model Importer 1.5 x64	01.05.05008.0	Bentley
Bentley DgnDb i-model Importer 1.5 x64	01.05.03013.0	Bentley
Bentley DgnDb i-model Importer 1.5 x64	01.05.07009.0	Bentley
Bentley InRoads Group V8i (SELECTseries 1)	08.11.07.246	Bentley
Bentley InRoads Group V8i (SELECTseries 4)	08.11.09.845	Bentley
Bentley Map Enterprise V8i (SELECTseries 4) 08.11.09.503	08.11.09.503	Bentley
Bentley Map Enterprise V8i (SELECTseries 4) 08.11.09.713	08.11.09.713	Bentley
Bentley Map Enterprise V8i (SELECTseries 4) 08.11.09.836	08.11.09.836	Bentley
Bentley Map Mobile Publisher	05.02.01.22	Bentley
Bentley Map Mobile Publisher	05.02.01.16	Bentley
Bentley OpenSTAADOEM	08.02.09.16	Bentley
Bentley SPC Server v8i SS3	8.11.9.38	Bentley
Bentley Structure Property Catalog V8i SS3 v3.1.2.4	3.1.2.4	Bentley
Bentley V8i (SELECTseries 3) - Autodesk® RealDWG™ 2012	8.11.9.357	Bentley
Bentley V8i (SELECTseries 3) - Autodesk® RealDWG™ 2013	08.11.09.357	Bentley
Bentley V8i (SELECTseries 3) - Autodesk® RealDWG™ 2014	08.11.09.459	Bentley
