Software Name	 Version	Manufacturer
Microsoft SQL Server 2008 R2 Setup (English)	10.53.6220.0	Microsoft
Microsoft SQL Server 2008 R2 Setup (English)	10.53.6000.34	Microsoft
Microsoft SQL Server 2008 R2 Setup (English)	10.53.6220.0	Microsoft
Microsoft SQL Server 2008 R2 Setup (English)	10.50.1600.1	Microsoft
Microsoft SQL Server 2008 R2 Setup (English)	10.51.2500.0	Microsoft
Microsoft SQL Server 2008 R2 Setup (English)	10.53.6000.34	Microsoft
Microsoft SQL Server 2008 R2 Transact-SQL Language Service	10.50.1750.9	Microsoft
Microsoft SQL Server 2008 Setup Support Files	10.1.2731.0	Microsoft
Microsoft SQL Server 2008 Setup Support Files 	10.1.2731.0	Microsoft
Microsoft SQL Server 2008 Setup Support Files 	10.3.5500.0	Microsoft
Microsoft SQL Server 2008 Setup Support Files 	10.1.2731.0	Microsoft
Microsoft SQL Server 2008 Setup Support Files 	10.3.5500.0	Microsoft
Microsoft SQL Server 2008 Setup Support Files 	10.4.6241.0	Microsoft
Microsoft SQL Server 2008 Setup Support Files 	10.3.5500.0	Microsoft
Microsoft SQL Server 2008 Setup Support Files 	10.3.5500.0	Microsoft
Microsoft SQL Server 2008 Setup Support Files 	10.1.2731.0	Microsoft
Microsoft SQL Server 2008 Setup Support Files 	10.1.2731.0	Microsoft
Microsoft SQL Server 2008 Setup Support Files 	10.4.6241.0	Microsoft
Microsoft SQL Server 2012		Microsoft
Microsoft SQL Server 2012		Microsoft
Microsoft SQL Server 2012 (64-bit)	-64	Microsoft
Microsoft SQL Server 2012 (64-bit)	-64	Microsoft
Microsoft SQL Server 2012 (64-bit)		Microsoft
Microsoft SQL Server 2012 Command Line Utilities 	11.0.2100.60	Microsoft
Microsoft SQL Server 2012 Data-Tier App Framework 	11.1.2818.0	Microsoft
Microsoft SQL Server 2012 Data-Tier App Framework 	11.0.2316.0	Microsoft
Microsoft SQL Server 2012 Data-Tier App Framework 	11.0.2316.0	Microsoft
Microsoft SQL Server 2012 Express LocalDB	11.4.7462.6	Microsoft
Microsoft SQL Server 2012 Express LocalDB 	11.3.6020.0	Microsoft
Microsoft SQL Server 2012 Express LocalDB 	11.1.3000.0	Microsoft
Microsoft SQL Server 2012 Express LocalDB 	11.4.7001.0	Microsoft
Microsoft SQL Server 2012 Express LocalDB 	11.0.2100.60	Microsoft
Microsoft SQL Server 2012 Management Objects 	11.0.2100.60	Microsoft
Microsoft SQL Server 2012 Management Objects  (x64)	11.0.2100.60	Microsoft
Microsoft SQL Server 2012 Management Objects  (x64)	11.0.2100.60	Microsoft
Microsoft SQL Server 2012 Management Objects  (x64)	11.0.2100.60	Microsoft
Microsoft SQL Server 2012 Native Client	11.4.7462.6	Microsoft
Microsoft SQL Server 2012 Native Client	11.3.6020.0	Microsoft
Microsoft SQL Server 2012 Native Client 	11.2.5643.3	Microsoft
Microsoft SQL Server 2012 Native Client 	11.0.2100.60	Microsoft
Microsoft SQL Server 2012 Native Client 	11.4.7001.0	Microsoft
Microsoft SQL Server 2012 Native Client 	11.3.6540.0	Microsoft
Microsoft SQL Server 2012 Native Client 	11.3.6020.0	Microsoft
Microsoft SQL Server 2012 Native Client 	11.4.7001.0	Microsoft
Microsoft SQL Server 2012 Native Client 	11.0.2100.60	Microsoft
Microsoft SQL Server 2012 Native Client 	11.2.5643.3	Microsoft
Microsoft SQL Server 2012 Native Client 	11.2.5643.3	Microsoft
Microsoft SQL Server 2012 Native Client 	11.0.2100.60	Microsoft
Microsoft SQL Server 2012 Native Client 	11.4.7001.0	Microsoft
Microsoft SQL Server 2012 Performance Dashboard Reports	11.0.1481.26	Microsoft
Microsoft SQL Server 2012 Performance Dashboard Reports	11.0.1481.26	Microsoft
Microsoft SQL Server 2012 Performance Dashboard Reports	11.0.1481.26	Microsoft
Microsoft SQL Server 2012 Policies 	11.0.2100.60	Microsoft
Microsoft SQL Server 2012 Policies 	11.0.2100.60	Microsoft
Microsoft SQL Server 2012 RsFx Driver	11.1.3000.0	Microsoft
Microsoft SQL Server 2012 RsFx Driver	11.4.7001.0	Microsoft
Microsoft SQL Server 2012 Setup (English)	11.4.7001.0	Microsoft
Microsoft SQL Server 2012 Setup (English)	11.1.3000.0	Microsoft
Microsoft SQL Server 2012 Setup (English)	11.4.7001.0	Microsoft
Microsoft SQL Server 2012 Setup (English)	11.3.6020.0	Microsoft
Microsoft SQL Server 2012 Setup (English)	11.3.6248.0	Microsoft
Microsoft SQL Server 2012 Setup (English)	11.4.7001.0	Microsoft
Microsoft SQL Server 2012 Setup (English)	11.4.7462.6	Microsoft
Microsoft SQL Server 2012 Transact-SQL Compiler Service	11.4.7462.6	Microsoft
Microsoft SQL Server 2012 Transact-SQL Compiler Service 	11.4.7001.0	Microsoft
Microsoft SQL Server 2012 Transact-SQL Compiler Service 	11.3.6020.0	Microsoft
Microsoft SQL Server 2012 Transact-SQL Compiler Service 	11.4.7001.0	Microsoft
Microsoft SQL Server 2012 Transact-SQL Compiler Service 	11.0.2100.60	Microsoft
Microsoft SQL Server 2012 Transact-SQL ScriptDom	11.4.7001.0	Microsoft
Microsoft SQL Server 2012 Transact-SQL ScriptDom 	11.4.7001.0	Microsoft
Microsoft SQL Server 2012 Transact-SQL ScriptDom 	11.4.7001.0	Microsoft
Microsoft SQL Server 2012 Transact-SQL ScriptDom 	11.3.6020.0	Microsoft
Microsoft SQL Server 2012 Transact-SQL ScriptDom 	11.0.2100.60	Microsoft
Microsoft SQL Server 2012 Transact-SQL ScriptDom 	11.4.7001.0	Microsoft
Microsoft SQL Server 2012 T-SQL Language Service 	11.0.2100.60	Microsoft
Microsoft SQL Server 2012 T-SQL Language Service 	11.0.2100.60	Microsoft
Microsoft SQL Server 2014	2014	Microsoft
Microsoft SQL Server 2014 (64-bit)		Microsoft
Microsoft SQL Server 2014 (64-bit)		Microsoft
Microsoft SQL Server 2014 (64-bit)	-64	Microsoft
Microsoft SQL Server 2014 (64-bit)	-64	Microsoft
Microsoft SQL Server 2014 Express LocalDB 	12.0.2000.8	Microsoft
Microsoft SQL Server 2014 Management Objects 	12.0.2000.8	Microsoft
Microsoft SQL Server 2014 Management Objects 	12.0.2000.8	Microsoft
Microsoft SQL Server 2014 Management Objects  (x64)	12.0.2000.8	Microsoft
Microsoft SQL Server 2014 Management Objects  (x64)	12.0.2000.8	Microsoft
Microsoft SQL Server 2014 Management Objects  (x64)	12.0.2000.8	Microsoft
Microsoft SQL Server 2014 Policies 	12.0.2000.8	Microsoft
Microsoft SQL Server 2014 Policies 	12.0.2000.8	Microsoft
Microsoft SQL Server 2014 Policies 	12.0.2000.8	Microsoft
Microsoft SQL Server 2014 RS Add-in for SharePoint 	12.0.2000.8	Microsoft
Microsoft SQL Server 2014 RsFx Driver	12.2.5589.7	Microsoft
Microsoft SQL Server 2014 Setup (English)	12.2.5589.7	Microsoft
Microsoft SQL Server 2014 Setup (English)	12.2.5214.6	Microsoft
Microsoft SQL Server 2014 Setup (English)	12.2.5557.0	Microsoft
Microsoft SQL Server 2014 Setup (English)	12.2.5557.0	Microsoft
Microsoft SQL Server 2014 Setup (English)	12.2.5000.0	Microsoft
Microsoft SQL Server 2014 Setup (English)	12.2.5557.0	Microsoft
Microsoft SQL Server 2014 Setup (English)	12.2.5203.0	Microsoft
Microsoft SQL Server 2014 Setup (English)	12.2.5203.0	Microsoft
Microsoft SQL Server 2014 Setup (English)	12.2.5000.0	Microsoft
Microsoft SQL Server 2014 Setup (English)	12.2.5203.0	Microsoft
Microsoft SQL Server 2014 Transact-SQL Compiler Service 	12.2.5589.7	Microsoft
Microsoft SQL Server 2014 Transact-SQL Compiler Service 	12.2.5214.6	Microsoft
Microsoft SQL Server 2014 Transact-SQL Compiler Service 	12.2.5557.0	Microsoft
Microsoft SQL Server 2014 Transact-SQL Compiler Service 	12.2.5557.0	Microsoft
Microsoft SQL Server 2014 Transact-SQL Compiler Service 	12.2.5000.0	Microsoft
Microsoft SQL Server 2014 Transact-SQL Compiler Service 	12.2.5000.0	Microsoft
Microsoft SQL Server 2014 Transact-SQL ScriptDom 	12.0.2000.8	Microsoft
Microsoft SQL Server 2014 Transact-SQL ScriptDom 	12.2.5000.0	Microsoft
Microsoft SQL Server 2014 Transact-SQL ScriptDom 	12.2.5000.0	Microsoft
Microsoft SQL Server 2014 Transact-SQL ScriptDom 	12.2.5000.0	Microsoft
Microsoft SQL Server 2014 Transact-SQL ScriptDom 	12.0.2000.8	Microsoft
Microsoft SQL Server 2014 Transact-SQL ScriptDom 	12.0.2000.8	Microsoft
Microsoft SQL Server 2014 T-SQL Language Service 	12.0.2000.8	Microsoft
Microsoft SQL Server 2014 Upgrade Advisor 	12.0.2000.10	Microsoft
Microsoft SQL Server 2014 Upgrade Advisor 	12.0.2000.8	Microsoft
Microsoft SQL Server 2014 Upgrade Advisor 	12.0.2000.8	Microsoft
Microsoft SQL Server 2014 Upgrade Advisor 	12.0.2000.10	Microsoft
Microsoft SQL Server 2014 Upgrade Advisor 	12.0.2000.8	Microsoft
Microsoft SQL Server 2014 Upgrade Advisor 	12.0.2000.10	Microsoft
Microsoft SQL Server 2016 LocalDB 	13.0.1601.5	Microsoft
Microsoft SQL Server 2016 Management Objects 	13.0.1601.5	Microsoft
Microsoft SQL Server 2016 Management Objects  (x64)	13.0.1601.5	Microsoft
Microsoft SQL Server 2016 T-SQL Language Service 	13.0.14500.10	Microsoft
Microsoft SQL Server 2016 T-SQL ScriptDom 	13.0.1601.5	Microsoft
Microsoft SQL Server 2017		Microsoft
Microsoft SQL Server 2017		Microsoft
Microsoft SQL Server 2017 Policies 	14.0.1000.169	Microsoft
Microsoft SQL Server 2017 T-SQL Language Service 	14.0.17213.0	Microsoft
Microsoft SQL Server Browser	10.53.6000.34	Microsoft
Microsoft SQL Server Browser	10.53.6000.34	Microsoft
Microsoft SQL Server Browser	10.53.6000.34	Microsoft
Microsoft SQL Server Compact 3.5 SP1 English	3.5.5692.0	Microsoft
Microsoft SQL Server Compact 3.5 SP1 English	3.5.5692.0	Microsoft
Microsoft SQL Server Compact 3.5 SP1 English	3.5.5692.0	Microsoft
Microsoft SQL Server Compact 3.5 SP1 x64 English	3.5.5692.0	Microsoft
Microsoft SQL Server Compact 3.5 SP1 x64 English	3.5.5692.0	Microsoft
Microsoft SQL Server Compact 3.5 SP1 x64 English	3.5.5692.0	Microsoft
Microsoft SQL Server Compact 3.5 SP2 ENU	3.5.8080.0	Microsoft
Microsoft SQL Server Compact 3.5 SP2 ENU	3.5.8088.0	Microsoft
Microsoft SQL Server Compact 3.5 SP2 ENU	3.5.8080.0	Microsoft
Microsoft SQL Server Compact 3.5 SP2 ENU	3.5.8080.0	Microsoft
Microsoft SQL Server Compact 3.5 SP2 ENU	3.5.8080.0	Microsoft
Microsoft SQL Server Compact 3.5 SP2 Query Tools ENU	3.5.8080.0	Microsoft
Microsoft SQL Server Compact 3.5 SP2 Query Tools ENU	3.5.8080.0	Microsoft
Microsoft SQL Server Compact 3.5 SP2 Query Tools ENU	3.5.8080.0	Microsoft
Microsoft SQL Server Compact 3.5 SP2 x64 ENU	3.5.8088.0	Microsoft
Microsoft SQL Server Compact 3.5 SP2 x64 ENU	3.5.8080.0	Microsoft
Microsoft SQL Server Compact 4.0 SP1 x64 ENU	4.0.8876.1	Microsoft
Microsoft SQL Server Compact 4.0 SP1 x64 ENU CTP1	4.0.8854.1	Microsoft
Microsoft SQL Server Compact 4.0 SP1 x64 ENU CTP1	4.0.8854.1	Microsoft
Microsoft SQL Server Compact 4.0 SP1 x64 ENU CTP1	4.0.8854.1	Microsoft
Microsoft SQL Server Compact 4.0 x64 ENU	4.0.8482.1	Microsoft
Microsoft SQL Server Compact 4.0 x64 ENU	4.0.8482.1	Microsoft
Microsoft SQL Server Data Tools - enu (11.1.20828.01)	11.1.20828.01	Microsoft
Microsoft SQL Server Data Tools - enu (14.0.50616.0)	14.0.50616.0	Microsoft
Microsoft SQL Server Data Tools - enu (14.0.60519.0)	14.0.60519.0	Microsoft
Microsoft SQL Server Data Tools Build Utilities - enu (11.1.20828.01)	11.1.20828.01	Microsoft
Microsoft SQL Server Data Tools ΓÇô Database Projects ΓÇô Web installer entry point	10.3.20116.0	Microsoft
Microsoft SQL Server Database Publishing Wizard 1.4	10.1.2512.8	Microsoft
Microsoft SQL Server Data-Tier Application Framework (x86)	14.0.3881.1	Microsoft
Microsoft SQL Server Desktop Engine (JMPS_SQL_SERVER)	8.00.2039	Microsoft
Microsoft SQL Server Management Objects Collection 	9.00.1399.06	Microsoft
Microsoft SQL Server Management Studio - 17.4	14.0.17213.0	Microsoft
Microsoft SQL Server Migration Assistant for Access	6.0.0 	Microsoft
Microsoft SQL Server Native Client	9.00.5000.00	Microsoft
Microsoft SQL Server Native Client	9.00.1399.06	Microsoft
Microsoft SQL Server Setup Support Files (English)	9.00.5000.00	Microsoft
Microsoft SQL Server System CLR Types	10.51.2500.0	Microsoft
Microsoft SQL Server System CLR Types	10.51.2500.0	Microsoft
Microsoft SQL Server System CLR Types	10.51.2500.0	Microsoft
Microsoft SQL Server System CLR Types	10.50.1750.9	Microsoft
Microsoft SQL Server System CLR Types (x64)	10.53.6000.34	Microsoft
Microsoft SQL Server System CLR Types (x64)	10.53.6000.34	Microsoft
Microsoft SQL Server System CLR Types (x64)	10.53.6000.34	Microsoft
Microsoft SQL Server System CLR Types (x64)	10.50.1750.9	Microsoft
Microsoft SQL Server VSS Writer	10.53.6000.34	Microsoft
Microsoft SQL Server VSS Writer	10.53.6000.34	Microsoft
Microsoft SQL Server VSS Writer	10.4.6000.29	Microsoft
Microsoft SQL Server VSS Writer	9.00.5000.00	Microsoft
Microsoft SQL Server VSS Writer	10.3.5500.0	Microsoft
Microsoft SQL Server VSS Writer	10.53.6000.34	Microsoft
Microsft Storage Explorer	1.x	Microsoft
Microsoft Sync Framework 2.1 Core Components (x64) ENU 	2.1.1648.0	Microsoft
Microsoft Sync Framework 2.1 Database Providers (x64) ENU 	3.1.1648.0	Microsoft
Microsoft Sync Framework Runtime v1.0 (x64)	1.0.1215.0	Microsoft
Microsoft Sync Framework Runtime v1.0 (x64)	1.0.1215.0	Microsoft
Microsoft Sync Framework Runtime v1.0 (x64)	1.0.1215.0	Microsoft
Microsoft Sync Framework Runtime v1.0 SP1 (x64)	1.0.3010.0	Microsoft
Microsoft Sync Framework SDK v1.0 SP1	1.0.3010.0	Microsoft
Microsoft Sync Framework Services v1.0 SP1 (x64)	1.0.3010.0	Microsoft
Microsoft Sync Services for ADO.NET v2.0 SP1 (x64)	2.0.3010.0	Microsoft
Microsoft System Center Configuration Manager 2007 Console	2007	Microsoft
Microsoft System Center Configuration Manager 2007 Console		Microsoft
Microsoft System Center Configuration Manager 2007 R3	4.00.6561.1000	Microsoft
Microsoft System CLR Types for SQL Server 2012	11.1.3000.0	Microsoft
Microsoft System CLR Types for SQL Server 2012	11.0.2100.60	Microsoft
Microsoft System CLR Types for SQL Server 2012	11.2.5058.0	Microsoft
Microsoft System CLR Types for SQL Server 2012 (x64)	11.0.2100.60	Microsoft
Microsoft System CLR Types for SQL Server 2012 (x64)	11.0.2100.60	Microsoft
Microsoft System CLR Types for SQL Server 2012 (x64)	11.0.2100.60	Microsoft
Microsoft System CLR Types for SQL Server 2012 (x64)	11.3.6020.0	Microsoft
Microsoft System CLR Types for SQL Server 2012 (x64)	11.4.7001.0	Microsoft
Microsoft System CLR Types for SQL Server 2012 (x64)	11.1.3000.0	Microsoft
Microsoft System CLR Types for SQL Server 2012 (x64)	11.4.7462.6	Microsoft
Microsoft System CLR Types for SQL Server 2014	12.0.2402.11	Microsoft
Microsoft System CLR Types for SQL Server 2014	12.0.2402.29	Microsoft
Microsoft System CLR Types for SQL Server 2014	12.0.2402.29	Microsoft
Microsoft System CLR Types for SQL Server 2014	12.0.2402.11	Microsoft
Microsoft System CLR Types for SQL Server 2014	12.0.2402.11	Microsoft
Microsoft System CLR Types for SQL Server 2014 (x64)	12.2.5589.7	Microsoft
Microsoft System CLR Types for SQL Server 2014 (x64)	12.2.5214.6	Microsoft
Microsoft System CLR Types for SQL Server 2014 (x64)	12.2.5000.0	Microsoft
Microsoft System CLR Types for SQL Server 2014 (x64)	12.2.5000.0	Microsoft
Microsoft System CLR Types for SQL Server 2016	13.0.1601.5	Microsoft
Microsoft System CLR Types for SQL Server 2016	13.0.1601.5	Microsoft
Microsoft System CLR Types for SQL Server 2017	14.0.1000.169	Microsoft
Microsoft Team Foundation Server 2010 Object Model - ENU	10.0.40219	Microsoft
Microsoft User Profiles	14.0.7015.1000	Microsoft
Microsoft Visio MUI (English) 2013	15.0.4569.1506	Microsoft
Microsoft Visio Professional 2013	15.0.4569.1506	Microsoft
Microsoft Visio Professional 2013	15.0.4569.1506	Microsoft
Microsoft Visio Professional 2016 - en-us	16.0.8827.2148	Microsoft
Microsoft Visio Services English Language Pack	14.0.7015.1000	Microsoft
Microsoft Visio Services Web Front End Components	14.0.7015.1000	Microsoft
Microsoft Visio Viewer 2010	14.0.7015.1000	Microsoft
Microsoft Visio Viewer 2013	15.0.4569.1506	Microsoft
Microsoft Visio Viewer 2013	15.0.4569.1506	Microsoft
Microsoft Visio Viewer 2013	15.0.4569.1506	Microsoft
Microsoft Visio Viewer 2013	15.0.4569.1506	Microsoft
Microsoft Visual C++ 2005 Redistributable	8.0.61001	Microsoft
Microsoft Visual C++ 2005 Redistributable	8.0.59193	Microsoft
Microsoft Visual C++ 2005 Redistributable	8.0.61001	Microsoft
Microsoft Visual C++ 2005 Redistributable	8.0.59193	Microsoft
Microsoft Visual C++ 2005 Redistributable	8.0.56336	Microsoft
Microsoft Visual C++ 2005 Redistributable	8.0.61001	Microsoft
Microsoft Visual C++ 2005 Redistributable	8.0.50727.42	Microsoft
Microsoft Visual C++ 2005 Redistributable	8.0.59193	Microsoft
Microsoft Visual C++ 2005 Redistributable	8.0.61001	Microsoft
Microsoft Visual C++ 2005 Redistributable	8.0.56336	Microsoft
Microsoft Visual C++ 2005 Redistributable (x64)	8.0.61000	Microsoft
Microsoft Visual C++ 2005 Redistributable (x64)	8.0.59192	Microsoft
Microsoft Visual C++ 2005 Redistributable (x64)	8.0.50727.42	Microsoft
Microsoft Visual C++ 2005 Redistributable (x64)	8.0.56336	Microsoft
Microsoft Visual C++ 2005 Redistributable (x64)	8.0.61000	Microsoft
Microsoft Visual C++ 2005 Redistributable (x64)	8.0.59192	Microsoft
Microsoft Visual C++ 2005 Redistributable (x64)	8.0.61000	Microsoft
Microsoft Visual C++ 2005 Redistributable (x64)	8.0.56336	Microsoft
Microsoft Visual C++ 2005 Redistributable (x64)	8.0.50727.42	Microsoft
Microsoft Visual C++ 2005 Redistributable (x64)	8.0.59192	Microsoft
Microsoft Visual C++ 2005 Redistributable (x64)	8.0.56336	Microsoft
Microsoft Visual C++ 2005 Redistributable (x64)	8.0.50727.42	Microsoft
Microsoft Visual C++ 2005 Redistributable (x64)	8.0.61000	Microsoft
Microsoft Visual C++ 2005 Redistributable (x64) - KB2467175	8.0.51011	Microsoft
Microsoft Visual C++ 2008 Redistributable - x64 9.0.21022	9.0.21022	Microsoft
Microsoft Visual C++ 2008 Redistributable - x64 9.0.21022	9.0.21022	Microsoft
Microsoft Visual C++ 2008 Redistributable - x64 9.0.21022	9.0.21022	Microsoft
Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729	9.0.30729	Microsoft
Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729	9.0.30729	Microsoft
Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729	9.0.30729	Microsoft
Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.17	9.0.30729	Microsoft
Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.17	9.0.30729	Microsoft
Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.17	9.0.30729	Microsoft
Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.17	9.0.30729	Microsoft
Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.4148	9.0.30729.4148	Microsoft
Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.4148	9.0.30729.4148	Microsoft
Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.4148	9.0.30729.4148	Microsoft
Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.4148	9.0.30729.4148	Microsoft
Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161	9.0.30729.6161	Microsoft
Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161	9.0.30729.6161	Microsoft
Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161	9.0.30729.6161	Microsoft
Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161	9.0.30729.6161	Microsoft
Microsoft Visual C++ 2008 Redistributable - x86 9.0.21022	9.0.21022	Microsoft
Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729	9.0.30729	Microsoft
Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729	9.0.30729	Microsoft
Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729	9.0.30729	Microsoft
Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.17	9.0.30729	Microsoft
Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.17	9.0.30729	Microsoft
Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.17	9.0.30729	Microsoft
Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.17	9.0.30729	Microsoft
Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148	9.0.30729.4148	Microsoft
Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148	9.0.30729.4148	Microsoft
Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148	9.0.30729.4148	Microsoft
Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148	9.0.30729.4148	Microsoft
Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4974	9.0.30729.4974	Microsoft
Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161	9.0.30729.6161	Microsoft
Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161	9.0.30729.6161	Microsoft
Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161	9.0.30729.6161	Microsoft
Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161	9.0.30729.6161	Microsoft
Microsoft Visual C++ 2010  x64 Designtime - 10.0.30319	10.0.30319	Microsoft
Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219	10.0.40219	Microsoft
Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219	10.0.40219	Microsoft
Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219	10.0.40219	Microsoft
Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219	10.0.40219	Microsoft
Microsoft Visual C++ 2010  x64 Runtime - 10.0.40219	10.0.40219	Microsoft
Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219	10.0.40219	Microsoft
Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219	10.0.40219	Microsoft
Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219	10.0.40219	Microsoft
Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219	10.0.40219	Microsoft
Microsoft Visual C++ 2010  x86 Runtime - 10.0.40219	10.0.40219	Microsoft
Microsoft Visual C++ 2010  x86 Runtime - 10.0.40219	10.0.40219	Microsoft
Microsoft Visual C++ 2010  x86 Runtime - 10.0.40219	10.0.40219	Microsoft
Microsoft Visual C++ 2012 Redistributable (x64) - 11.0.50727	11.0.50727.1	Microsoft
Microsoft Visual C++ 2012 Redistributable (x64) - 11.0.50727	11.0.50727.1	Microsoft
Microsoft Visual C++ 2012 Redistributable (x64) - 11.0.51106	11.0.51106.1	Microsoft
Microsoft Visual C++ 2012 Redistributable (x64) - 11.0.60610	11.0.60610.1	Microsoft
Microsoft Visual C++ 2012 Redistributable (x64) - 11.0.60610	11.0.60610.1	Microsoft
Microsoft Visual C++ 2012 Redistributable (x64) - 11.0.60610	11.0.60610.1	Microsoft
Microsoft Visual C++ 2012 Redistributable (x64) - 11.0.61030	11.0.61030.0	Microsoft
Microsoft Visual C++ 2012 Redistributable (x64) - 11.0.61030	11.0.61030.0	Microsoft
Microsoft Visual C++ 2012 Redistributable (x64) - 11.0.61030	11.0.61030.0	Microsoft
Microsoft Visual C++ 2012 Redistributable (x86) - 11.0.50727	11.0.50727.1	Microsoft
Microsoft Visual C++ 2012 Redistributable (x86) - 11.0.50727	11.0.50727.1	Microsoft
Microsoft Visual C++ 2012 Redistributable (x86) - 11.0.51106	11.0.51106.1	Microsoft
Microsoft Visual C++ 2012 Redistributable (x86) - 11.0.60610	11.0.60610.1	Microsoft
Microsoft Visual C++ 2012 Redistributable (x86) - 11.0.61030	11.0.61030.0	Microsoft
Microsoft Visual C++ 2012 Redistributable (x86) - 11.0.61030	11.0.61030.0	Microsoft
Microsoft Visual C++ 2012 Redistributable (x86) - 11.0.61030	11.0.61030.0	Microsoft
Microsoft Visual C++ 2012 x64 Additional Runtime - 11.0.50727	11.0.50727	Microsoft
Microsoft Visual C++ 2012 x64 Additional Runtime - 11.0.60610	11.0.60610	Microsoft
Microsoft Visual C++ 2012 x64 Additional Runtime - 11.0.61030	11.0.61030	Microsoft
Microsoft Visual C++ 2012 x64 Additional Runtime - 11.0.61030	11.0.61030	Microsoft
Microsoft Visual C++ 2012 x64 Minimum Runtime - 11.0.50727	11.0.50727	Microsoft
Microsoft Visual C++ 2012 x64 Minimum Runtime - 11.0.60610	11.0.60610	Microsoft
Microsoft Visual C++ 2012 x64 Minimum Runtime - 11.0.61030	11.0.61030	Microsoft
Microsoft Visual C++ 2012 x64 Minimum Runtime - 11.0.61030	11.0.61030	Microsoft
Microsoft Visual C++ 2012 x86 Additional Runtime - 11.0.50727	11.0.50727	Microsoft
Microsoft Visual C++ 2012 x86 Additional Runtime - 11.0.61030	11.0.61030	Microsoft
Microsoft Visual C++ 2012 x86 Additional Runtime - 11.0.61030	11.0.61030	Microsoft
Microsoft Visual C++ 2012 x86 Minimum Runtime - 11.0.50727	11.0.50727	Microsoft
Microsoft Visual C++ 2012 x86 Minimum Runtime - 11.0.61030	11.0.61030	Microsoft
Microsoft Visual C++ 2012 x86 Minimum Runtime - 11.0.61030	11.0.61030	Microsoft
Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.21005	12.0.21005.1	Microsoft
Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.21005	12.0.21005.1	Microsoft
Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.21005	12.0.21005.1	Microsoft
Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.21005	12.0.21005.1	Microsoft
Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.30501	12.0.30501.0	Microsoft
Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.30501	12.0.30501.0	Microsoft
Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.30501	12.0.30501.0	Microsoft
Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.30501	12.0.30501.0	Microsoft
Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.40649	12.0.40649.5	Microsoft
Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.40649	12.0.40649.5	Microsoft
Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.40649	12.0.40649.5	Microsoft
Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.40660	12.0.40660.0	Microsoft
Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.40660	12.0.40660.0	Microsoft
Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.21005	12.0.21005.1	Microsoft
Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.21005		Microsoft
